Nomenclature,Noun,Software_Noun,Description,Dimensional_Analysis,English_System,International_System,Parameter_Type,Check,Classification
Nomenclature,Noun,Software Noun,Description,Dimensional Analysis,English System,International System,Parameter Type,“Check”,Classification
$\mathtt g_{\alpha i}$,"Boundary data (i = 1, 2, 3)",,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$\mathtt g_{i}$,"Boundary data (i = 1, 2, 3)",,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$\mathtt g_{\alpha p}$,Boundary datum,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$\mathtt g_{\alpha u}$,Boundary datum,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$\mathtt g$,Boundary datum,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$\Gamma$,Boundary of Ω (∂Ω),,,$L^{2}$,$ft^{2}$,$m^{2}$,Mathematical,Physical,
$\mathtt g_{p}$,Boundary parameter,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\mathtt g_{u}$,Boundary parameter,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\mu_i$,Chemical potential of component i,,,$ML^{2} / t^{2}$,$lbm * ft^{2} / D^{2}$,$kg * m^{2} / D^{2}$,Physical,,
$\mathbf{E^{\perp}(u)}$,Complement of E(u): I − E(u),,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,
$c(p)$,Compressibility,,,$Lt^{2}/M$,$psi^{-1}$,$kPa^{-1}$,Physical,,
$T_{cm}$,Critical temperature of component m,,,$T$,$R$,$K$,Physical,,
$A_i$,Cross section normal to xi-direction,,,$L^{2}$,$ft^{2}$,$m^{2}$,Physical,,
$A$,Cross-sectional area normal to flow,,,$L^{2}$,$ft^{2}$,$m^{2}$,Physical,,
$\rho_{ob}$,Density of overburden,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,
$\rho_{ub}$,Density of underburden,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,
$\rho_{\alpha}$,Density of α phase,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,
$L^{n}_{i}$,Difference operator,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
$\mathcal{L}$,Differential operator,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,,
"$D_{m,ii}$",Diffusion of component m in xi-direction,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Mathematical,Physical,
