Nomenclatura,Parametro,Parametro_Software,Descripcion,Analisis_Dimensional,Sistema_Ingles,Sistema_Internacional,Tipo_de_Parametro,Revisar,Clasificacion
Nomenclatura,Parámetro,Parámetro Software,Descripción,Análisis Dimensional,Sistema Inglés,Sistema Internacional,Tipo de Parámetro,“Revisar”,Clasificación
$\wp$,Aceleración gravitacional,,,$L / t^{2}$,$ft / D^{2}$,$ft / D^{2}$,Físico,,
$a$,Coeficiente genérico,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$b$,Coeficiente genérico,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\mathbf{E^{\perp}(u)}$,Complemento de E(u): I − E(u),,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$c(p)$,Compresibilidad,,,$Lt^{2}/M$,$psi^{-1}$,$kPa^{-1}$,Físico,,
$\mathcal{K}$,Constante empírica o experimental,,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$C$,Constante genérica,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\theta$,Coordenadas polares,,,$rad$,$rad$,$rad$,Matemático,,
$r$,Coordenadas radiales,,,$L$,$ft$,$m$,Matemático,,
$f_w$,Corte de agua,,,$fracción$,$fracción$,$fracción$,Físico,,
$\mathtt g_{\alpha p}$,Datos de frontera,,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$\mathtt g_{\alpha u}$,Datos de frontera,,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$\mathtt g$,Datos de frontera,,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$\mathtt g_{i}$,"Datos de frontera (i = 1, 2, 3)",,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$\mathtt g_{\alpha i}$,"Datos de frontera (i = 1, 2, 3)",,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$\rho_{ub}$,Densidad de la carga inferior,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,,
$\rho_{\alpha}$,Densidad de la fase α,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,,
$\rho_{s}$,Densidad de masa del sólido,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,,
$\rho^{o}$,Densidad de referencia,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,,
$\rho_{ob}$,Densidad de sobrecarga,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,,
$\xi_{r}$,Densidad reducida,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$\dfrac{\partial}{\partial t}$,Derivada del tiempo,,,$t^{-1}$,$D^{-1}$,$D^{-1}$,Matemático,Físico,
$\dfrac{\partial}{\partial x_i}$,Derivada espacial,,,$L^{-1}$,$ft^{-1}$,$m^{-1}$,Matemático,Físico,
$\Delta\Phi_\alpha$,Diferencia de potencial de la fase α,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,
$\mathbf J$,Difusión / dispersión,,,$M / (Lt^{2})$,$lbm / (ft^{2} D)$,$kg * mole / m^{2} D$,Matemático,Físico,
$\mathbf J_i$,Difusión / dispersión del componente i,,,$M / (Lt^{2})$,$lbm / (ft^{2} D)$,$kg * mole / m^{2} D$,Matemático,Físico,
$\mathbf D_i$,Difusión / dispersión del componente i,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Matemático,Físico,
"$D_{m,ii}$",Difusión del componente m en dirección xi,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Matemático,Físico,
$d_m$,Difusión molecular,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Matemático,Físico,
$d^{'}_m$,Difusión molecular a escala,,,$L^{2} / t$,$ft^{2} / D$,$m^{2} / D$,Matemático,Físico,
$d_l$,Dispersión longitudinal,,,$L$,$ft$,$m$,Matemático,Físico,
$a_{num}$,Dispersión numerica,,,$adimensional$,$adimensional$,$adimensional$,Matemático,Físico,
$d_t$,Dispersión transversal,,,$L$,$ft$,$m$,Matemático,Físico,
$\Omega$,Dominio de solución,,,$L^{3}$,$ft^{3}$,$m^{3}$,Matemático,,
$\Omega_{ma}$,Ecuaciones del parámetro de estado de los componentes m,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\Omega_{mb}$,Ecuaciones del parámetro de estado de los componentes m,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$U_\alpha$,Energía interna específica de la fase α,,,$L^{2} / L^{2}$,$BTU / lbm$,$J / kg$,Físico,,
$H_\alpha$,Entalpía de la fase α,,,$L^{2} / L^{2}$,$BTU / lbm$,$J / kg$,Físico,,
$K_{m\alpha}$,Equilibrio del valor del componente m en la fase α,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$K_m$,Equilibrio del valor K del componente m,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$R^{n}_{i}$,Error de truncamiento,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
$\Gamma$,Frontera de Ω (∂Ω),,,$L^{2}$,$ft^{2}$,$m^{2}$,Matemático,Físico,
$\delta(x)$,Función delta Dirac,,,$1 / L^{3}$,$1 / ft^{3}$,$1 / m^{3}$,Matemático,,
$L$,Longitud del dominio Ω en dirección x1,,,$L$,$ft$,$m$,Físico,,
$F_m$,Masa total del componente m,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,,
$DS_{max}$,Máxima variación de saturación,,,$fracción$,$fracción$,$fracción$,Físico,,
$\lambda_\alpha$,Movilidad de la fase α,,,$Lt / M$,$ft D / lbm$,$m D / kg$,Físico,,
$\lambda$,Movilidad total,,,$Lt / M$,$ft D / lbm$,$m D / kg$,Físico,,
$t^{n}$,Nivel de tiempo n,,,$t$,$D$,$D$,Físico,,
$N_c$,Número de componentes,,,$adimensional$,$adimensional$,$adimensional$,Físico,,
$n_\alpha$,Numero de moles de la fase α,,,$mole$,$mole$,$mole$,Físico,,
$n_i$,Numero de moles del componente i,,,$mole$,$mole$,$mole$,Físico,,
$n_{m\alpha}$,Numero de moles del componente i en la fase α,,,$mole$,$mole$,$mole$,Físico,,
$n$,Numero total de moles,,,$mole$,$mole$,$mole$,Físico,,
$L^{n}_{i}$,Operador de diferencia,,,$adimensional$,$adimensional$,$adimensional$,Matemático,,
