Nomenclature,Noun,Software_Noun,Description,Dimensional_Analysis,English_System,International_System,Parameter_Type,Check,Classification
Nomenclature,Noun,Software Noun,Description,Dimensional Analysis,English System,International System,Parameter Type,“Check”,Classification
$\Delta p_a$,Acceleration pressure drop,,,$M / (Lt^{2})$,$psi$,$kPa$,Physical,,Prop. Fluid
$\rho_{air}$,Air density,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$p_b$,Bubble point pressure,,,$M / (Lt^{2})$,$psi$,$kPa$,Physical,,Prop. Fluid
$c_b$,Bulk specific heat capacity,,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Physical,,Prop. Fluid
ph,Bulk thermal conductivity,,,$ML / (Tt^{3})$,$Btu / (ft * D * R)$,$J / ( m * d * K)$,Physical,,Prop. Fluid
$\theta$,Contact angle,,,$rad$,$rad$,$rad$,Physical,Mathematical,Prop. Fluid
$V_{ci}$,Critical volume of component i,,,$L^{3}$,$ft^{3}$,$m^{3}$,Physical,,Prop. Fluid
$\mathbf u$,"Darcy velocity (u1 , u2 , u3 )",,,$L / t$,$ft / D$,$m / D$,Physical,,Prop. Fluid
$\mathbf u_\alpha$,Darcy’s velocity of phase α,,,$L / t$,$ft / D$,$m / D$,Physical,,Prop. Fluid
$\rho_{s}$,Density at std,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$\rho_{Gs}$,Density of gas at std,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$\rho^{(i)}$,Density of injected fluid,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$\rho_{o}$,Density of oil,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$\rho_{Os}$,Density of oil at std,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$\rho_{Ws}$,Density of water at std,,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Physical,,Prop. Fluid
$\mathcal{D}_m$,Diffusion coefficient of component m (numerical) ,,,$M / t$,$lbm / D$,$kg * mole / D$,Mathematical,Physical,Prop. Fluid
$a$,Empirical or experimental coefficient,,,$dimensionless$,$dimensionless$,$dimensionless$,Mathematical,Physical,Prop. Fluid
$\Delta p_w$,External work pressure drop,,,$M / (Lt^{2})$,$psi$,$kPa$,Physical,,Prop. Fluid
$c_f$,Fluid compressibility,,,$Lt^{2}/M$,$psi^{-1}$,$kPa^{-1}$,Physical,,Prop. Fluid
$\gamma$,Fluid gravity,,,$M / (L^{2}t^{2})$,$psi / ft$,$kPa / m$,Physical,,Prop. Fluid
$c_p$,Fluid heat capacity,,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Physical,,Prop. Fluid
$c_V$,Fluid specific heat capacity,,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Physical,,Prop. Fluid
