Nomenclatura,Parametro,Parametro_Software,Descripcion,Analisis_Dimensional,Sistema_Ingles,Sistema_Internacional,Tipo_de_Parametro,Revisar,Clasificacion
Nomenclatura,Parámetro,Parámetro Software,Descripción,Análisis Dimensional,Sistema Inglés,Sistema Internacional,Tipo de Parámetro,“Revisar”,Clasificación
$\theta$,Ángulo de contacto,,,$rad$,$rad$,$rad$,Físico,Matemático,Prop. Fluido
$\Delta p_w$,Caída de presión de trabajo externo,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,Prop. Fluido
$\Delta p_g$,Caída de presión hidrostática,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,Prop. Fluido
$\Delta p_a$,Caída de presión por aceleración,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,Prop. Fluido
$\Delta p_f$,Caída de presión por fricción,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,Prop. Fluido
$c_V$,Capacidad calorífica específica del fluido,,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
$C_s$,Capacidad caloríica específica,,,$L^{2} / Tt^{2}$,$ft^{2} / RD^{2}$,$m^{2} / KD^{2}$,Físico,,Prop. Fluido
"$C_{p,ub}$",Capacidad de calor de la carga inferior (presión fija),,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
$C_{p\alpha}$,Capacidad de calor de la fase α (Presión fija),,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
$C_{V\alpha}$,Capacidad de calor de la fase α (Volumen fijo),,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
"$C_{p,ob}$",Capacidad de calor de sobrecarga (presión fija),,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
$c_s$,Capacidad de calor específica sólida,,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
$c_b$,Capacidad de calor específico aparente,,,$L^{2} / Tt^{2}$,$Btu / (lbm * R)$,$J / (kg * K)$,Físico,,Prop. Fluido
