Nomenclatura,Parametro,Parametro_Software,Descripcion,Analisis_Dimensional,Sistema_Ingles,Sistema_Internacional,Tipo_de_Parametro,Revisar,Clasificacion
Nomenclatura,Parámetro,Parámetro Software,Descripción,Análisis Dimensional,Sistema Inglés,Sistema Internacional,Tipo de Parámetro,“Revisar”,Clasificación
$D$,Diámetro interior de la tubería,,,$L$,$ft$,$m$,Físico,Matemático,Prop. Pozo
$s$,Factor de revestimiento,,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Pozo
$WI$,Índice del pozo,,,$L^{3}$,$ft^{3}$,$m^{3}$,Físico,,Prop. Pozo
$\Delta h$,Longitud del pozo en una malla,,,$L$,$ft$,$m$,Físico,,Prop. Pozo
$N_w$,Numero de pozos ,,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Pozo
$M_{wv}$,Numero de zonas perforadas del quinto pozo,,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Pozo
$p_w$,Presión del pozo,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,Prop. Pozo
$p_{wh}$,Presión en la cabeza del pozo,,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,,Prop. Pozo
$W_t$,Productividad total del pozo,,,$L^{3}$,$ft^{3}$,$m^{3}$,Físico,Matemático,Prop. Pozo
$z$,Profundidad,,,$L$,$ft$,$m$,Físico,Matemático,Prop. Pozo
$r^{o}$,Radio de referencia,,,$L$,$ft$,$m$,Físico,Matemático,Prop. Pozo
$r_w$,Radio del pozo,,,$L$,$ft$,$m$,Físico,Matemático,Prop. Pozo
$r_e$,Radio equivalente,,,$L$,$ft$,$m$,Físico,Matemático,Prop. Pozo
$\Delta l$,Tamaño de paso de longitud en la dirección del pozo,,,$L$,$ft$,$m$,Físico,,Prop. Pozo
$\tilde{q}$,Tasa de flujo total del pozo,,,$t^{-1}$,$D^{-1}$,$D^{-1}$,Físico,,Prop. Pozo
$\mathbf x^{(i)}$,Ubicación del pozo,,,$L$,$ft$,$m$,Matemático,,Prop. Pozo
$\mathbf x^{(v)}$,Ubicación del pozo,,,$L$,$ft$,$m$,Matemático,,Prop. Pozo
$\mathbf {x_0}$,Ubicación del pozo,,,$L$,$ft$,$m$,Matemático,,Prop. Pozo
