Nomenclatura,Parametro,Descripcion,Analisis_Dimensional,Sistema_Ingles,Sistema_Internacional,Tipo_de_Parametro,Revisar,Clasificacion
Nomenclatura,Parámetro,Descripción,Análisis Dimensional,Sistema Inglés,Sistema Internacional,Tipo de Parámetro,“Revisar”,Clasificación
$\bar{V}$,Adimensional V(t),,$fracción$,$fracción$,$fracción$,Matemático,Físico,Prop. Roca
$\bar{V}_o$,Adimensional Vo (t),,$fracción$,$fracción$,$fracción$,Matemático,Físico,Prop. Roca
$\bar{V}_w$,Adimensional Vw (t),,$fracción$,$fracción$,$fracción$,Matemático,Físico,Prop. Roca
$c_R$,Compresibilidad de la roca,,$Lt^{2}/M$,$psi^{-1}$,$kPa^{-1}$,Físico,Petrofísico,Prop. Roca
$k_s$,Conductividad térmica sólida,,$ML / (Tt^{3})$,$Btu / (ft * D * R)$,$J / (m * D * K)$,Físico,Petrofísico,Prop. Roca
$\delta$,Constrictividad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$\rho$,Densidad,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,Petrofísico,Prop. Roca
$\rho_{b}$,Densidad aparente,,$M / L^{3}$,$lbm / ft^{3}$,$kg / m^{3}$,Físico,Petrofísico,Prop. Roca
$\textit{A}$,Parámetro ajustable en tortuosidad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$\textit{B}$,Parámetro ajustable en tortuosidad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$\textit{C}$,Parámetro ajustable en tortuosidad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$k_{ij}$,Parámetro de interacción binaria,,$adimensional$,$adimensional$,$adimensional$,Matemático,Petrofísico,Prop. Roca
$\beta_g$,Parámetro en la permeabilidad de la roca,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$\beta_o$,Parámetro en la permeabilidad de la roca,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$m$,Parámetro en tortuosidad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$n$,Parámetro en tortuosidad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$k$,Permeabilidad,,$L^{2}$,$darcy$,$\mu m^{2}$,Físico,Petrofísico,Prop. Roca
$\mathbf k_\alpha$,Permeabilidad efectiva de la fase α,,$L^{2}$,$darcy$,$\mu m^{2}$,Físico,Petrofísico,Prop. Roca
$k_{ii}$,Permeabilidad en dirección xi,,$L^{2}$,$darcy$,$\mu m^{2}$,Físico,Petrofísico,Prop. Roca
$K_H$,Permeabilidad horizontal,,$L^{2}$,$darcy$,$\mu m^{2}$,Físico,Petrofísico,Prop. Roca
$k_{row}$,Permeabilidad relativa de aceite-agua,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$k_{rog}$,Permeabilidad relativa de aceite-gas,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$k_{ra}$,Permeabilidad relativa de la fase α,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$k_V$,Permeabilidad vertical,,$L^{2}$,$darcy$,$\mu m^{2}$,Físico,Petrofísico,Prop. Roca
$\phi$,Porosidad,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$\phi^{o}$,Porosidad referencial,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$p_c$,Presión capilar,,$M / (Lt^{2})$,$psi$,$kPa$,Físico,Petrofísico,Prop. Roca
$S_{wc}$,Saturación crítica del agua,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{gc}$,Saturación crítica del gas,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{wf}$,Saturación de agua en el frente de agua,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{we}$,Saturación de agua en x1 = L,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{iw}$,Saturación de agua irreducible,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{\alpha}$,Saturación de la fase α,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S^{0}_w$,Saturación inicial de agua,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{wmax}$,Saturación máxima de agua,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{gmax}$,Saturación máxima de gas,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{na}$,Saturación normalizada de la fase α,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{nc}$,Saturación residual,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{or}$,Saturación residual del aceite,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{wr}$,Saturación residual del agua,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$S_{rg}$,Saturación residual del gas,,$fracción$,$fracción$,$fracción$,Físico,Petrofísico,Prop. Roca
$\sigma$,"Tensión Superficial (t n−1 , t n ]",,$M / t^{2}$,$lbm / D^{2}$,$kg / D^{2}$,Físico,Petrofísico,Prop. Roca
$\mathbf k$,Tensor de permeabilidad,,$L^{2}$,$darcy$,$\mu m^{2}$,Físico,Petrofísico,Prop. Roca
$\tau$,Tortuosidad,,$adimensional$,$adimensional$,$adimensional$,Físico,Petrofísico,Prop. Roca
$\mu$,Viscosidad,,$M / Lt$,$cp$,$(Pa * s)$,Físico,Petrofísico,Prop. Roca
