Nomenclatura,Parametro,Descripcion,Analisis_Dimensional,Sistema_Ingles,Sistema_Internacional,Tipo_de_Parametro,Revisar,Clasificacion
Nomenclatura,Parámetro,Descripción,Análisis Dimensional,Sistema Inglés,Sistema Internacional,Tipo de Parámetro,“Revisar”,Clasificación
$H$,Espesor del Yacimiento,,$L$,$ft$,$m$,Físico,Matemático,Prop. Yac
$\omega_m$,Factor acéntrico de componente m,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Yac
$Z_\alpha$,Factor de compresibilidad del factor α,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Yac
$\alpha_{Ti}$,Factor de difusión térmica del componente i,,$adimensional$,$adimensional$,$adimensional$,Matemático,,Prop. Yac
$f_m$,Factor de fricción,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Yac
$F$,Factor de resistividad de la formación,,$adimensional$,$adimensional$,$adimensional$,Físico,,Prop. Yac
$B$,Factor de volumen de formación,,$L^{3} / L^{3}$,$ft^{3} / ft^{3}$,$m^{3} / m^{3}$,Físico,,Prop. Yac
$B_{ob}$,Factor de volumen de formación de aceite en pb,,$L^{3} / L^{3}$,$RB / STB$,$m^{3} / std m^{3}$,Físico,,Prop. Yac
$B_{g\alpha}$,Factor de volumen de formación de la fase α,,$L^{3} / L^{3}$,$ft^{3} / ft^{3}$,$m^{3} / m^{3}$,Físico,,Prop. Yac
$B_o$,Factor de volumen de formacion del aceite,,$L^{3} / L^{3}$,$RB / STB$,$m^{3} / std m^{3}$,Físico,,Prop. Yac
$B_w$,Factor de volumen de formación del agua,,$L^{3} / L^{3}$,$RB / BBL$,$m^{3} / std m^{3}$,Físico,,Prop. Yac
$B_{g}$,Factor de volumen de formación del gas,,$L^{3} / L^{3}$,$RB / SCF$,$m^{3} / std m^{3}$,Físico,,Prop. Yac
$B_{wi}$,Factor de volumen inicial de formación de agua,,$L^{3} / L^{3}$,$RB / BBL$,$m^{3} / std m^{3}$,Físico,,Prop. Yac
$L$,Fracción de masa de aceite,,$fracción$,$fracción$,$fracción$,Físico,,Prop. Yac
$V$,Fracción de masa de gas,,$fracción$,$fracción$,$fracción$,Físico,,Prop. Yac
$C_{Oo}$,Fracción de masa del componente de aceite en aceite,,$fracción$,$fracción$,$fracción$,Físico,,Prop. Yac
$C_{Go}$,Fracción de masa del componente de gas en aceite,,$fracción$,$fracción$,$fracción$,Físico,,Prop. Yac
$x_i$,Fracción molar del componente i,,$fracción$,$fracción$,$fracción$,Físico,,Prop. Yac
